"Step","Group: CGBRBM_cd_v2 - train/fe_diff","Group: CGBRBM_cd_v2 - train/fe_diff__MIN","Group: CGBRBM_cd_v2 - train/fe_diff__MAX"
"1","0.4619644284248352","0.4619644284248352","0.4619644284248352"
"3","0.40878599882125854","0.40878599882125854","0.40878599882125854"
"5","0.36904945969581604","0.36904945969581604","0.36904945969581604"
"7","0.33900490403175354","0.33900490403175354","0.33900490403175354"
"9","0.3160194456577301","0.3160194456577301","0.3160194456577301"
"11","0.29820212721824646","0.29820212721824646","0.29820212721824646"
"13","0.28420335054397583","0.28420335054397583","0.28420335054397583"
"15","0.2730880677700043","0.2730880677700043","0.2730880677700043"
"17","0.26413649320602417","0.26413649320602417","0.26413649320602417"
"19","0.25684165954589844","0.25684165954589844","0.25684165954589844"
"21","0.25075799226760864","0.25075799226760864","0.25075799226760864"
"23","0.245707705616951","0.245707705616951","0.245707705616951"
"25","0.2413913756608963","0.2413913756608963","0.2413913756608963"
"27","0.2377292662858963","0.2377292662858963","0.2377292662858963"
"29","0.23457451164722443","0.23457451164722443","0.23457451164722443"
"31","0.23176726698875427","0.23176726698875427","0.23176726698875427"
"33","0.22928352653980255","0.22928352653980255","0.22928352653980255"
"35","0.2271324098110199","0.2271324098110199","0.2271324098110199"
"37","0.2251884490251541","0.2251884490251541","0.2251884490251541"
"39","0.2234020233154297","0.2234020233154297","0.2234020233154297"
"41","0.2217792570590973","0.2217792570590973","0.2217792570590973"
"43","0.2203361541032791","0.2203361541032791","0.2203361541032791"
"45","0.218902587890625","0.218902587890625","0.218902587890625"
"47","0.21766357123851776","0.21766357123851776","0.21766357123851776"
"49","0.21639594435691833","0.21639594435691833","0.21639594435691833"
"51","0.2152683287858963","0.2152683287858963","0.2152683287858963"
"53","0.21421775221824646","0.21421775221824646","0.21421775221824646"
"55","0.21334457397460938","0.21334457397460938","0.21334457397460938"
"57","0.2123951017856598","0.2123951017856598","0.2123951017856598"
"59","0.21143265068531036","0.21143265068531036","0.21143265068531036"
"61","0.21062049269676208","0.21062049269676208","0.21062049269676208"
"63","0.2098236083984375","0.2098236083984375","0.2098236083984375"
"65","0.20903129875659943","0.20903129875659943","0.20903129875659943"
"67","0.20834389328956604","0.20834389328956604","0.20834389328956604"
"69","0.2076713591814041","0.2076713591814041","0.2076713591814041"
"71","0.20700569450855255","0.20700569450855255","0.20700569450855255"
"73","0.20645561814308167","0.20645561814308167","0.20645561814308167"
"75","0.20574569702148438","0.20574569702148438","0.20574569702148438"
"77","0.2051776945590973","0.2051776945590973","0.2051776945590973"
"79","0.20462341606616974","0.20462341606616974","0.20462341606616974"
"81","0.20409050583839417","0.20409050583839417","0.20409050583839417"
"83","0.2035469114780426","0.2035469114780426","0.2035469114780426"
"85","0.20299606025218964","0.20299606025218964","0.20299606025218964"
"87","0.20242652297019958","0.20242652297019958","0.20242652297019958"
"89","0.20186766982078552","0.20186766982078552","0.20186766982078552"
"91","0.2015056610107422","0.2015056610107422","0.2015056610107422"
"93","0.20100288093090057","0.20100288093090057","0.20100288093090057"
"95","0.20061111450195312","0.20061111450195312","0.20061111450195312"
"97","0.2000606507062912","0.2000606507062912","0.2000606507062912"
"99","0.19958190619945526","0.19958190619945526","0.19958190619945526"
"101","0.1992950439453125","0.1992950439453125","0.1992950439453125"
"103","0.198771670460701","0.198771670460701","0.198771670460701"
"105","0.19825363159179688","0.19825363159179688","0.19825363159179688"
"107","0.19787445664405823","0.19787445664405823","0.19787445664405823"
"109","0.19748421013355255","0.19748421013355255","0.19748421013355255"
"111","0.19700279831886292","0.19700279831886292","0.19700279831886292"
"113","0.1965610533952713","0.1965610533952713","0.1965610533952713"
"115","0.19605903327465057","0.19605903327465057","0.19605903327465057"
"117","0.19582518935203552","0.19582518935203552","0.19582518935203552"
"119","0.19531135261058807","0.19531135261058807","0.19531135261058807"
"121","0.19497108459472656","0.19497108459472656","0.19497108459472656"
"123","0.19459381699562073","0.19459381699562073","0.19459381699562073"
"125","0.19428864121437073","0.19428864121437073","0.19428864121437073"
"127","0.19396476447582245","0.19396476447582245","0.19396476447582245"
"129","0.19382897019386292","0.19382897019386292","0.19382897019386292"
"131","0.19340896606445312","0.19340896606445312","0.19340896606445312"
"133","0.1931941956281662","0.1931941956281662","0.1931941956281662"
"135","0.1927364319562912","0.1927364319562912","0.1927364319562912"
"137","0.1924896240234375","0.1924896240234375","0.1924896240234375"
"139","0.19217872619628906","0.19217872619628906","0.19217872619628906"
"141","0.1918048858642578","0.1918048858642578","0.1918048858642578"
"143","0.19162292778491974","0.19162292778491974","0.19162292778491974"
"145","0.1912529021501541","0.1912529021501541","0.1912529021501541"
"147","0.1908103972673416","0.1908103972673416","0.1908103972673416"
"149","0.19058266282081604","0.19058266282081604","0.19058266282081604"
"151","0.19022789597511292","0.19022789597511292","0.19022789597511292"
"153","0.18999214470386505","0.18999214470386505","0.18999214470386505"
"155","0.1898426115512848","0.1898426115512848","0.1898426115512848"
"157","0.18934974074363708","0.18934974074363708","0.18934974074363708"
"159","0.1889854371547699","0.1889854371547699","0.1889854371547699"
"161","0.18883705139160156","0.18883705139160156","0.18883705139160156"
"163","0.18861007690429688","0.18861007690429688","0.18861007690429688"
"165","0.18831253051757812","0.18831253051757812","0.18831253051757812"
"167","0.18823738396167755","0.18823738396167755","0.18823738396167755"
"169","0.1878681182861328","0.1878681182861328","0.1878681182861328"
"171","0.18739815056324005","0.18739815056324005","0.18739815056324005"
"173","0.18708153069019318","0.18708153069019318","0.18708153069019318"
"175","0.18677368760108948","0.18677368760108948","0.18677368760108948"
"177","0.18664398789405823","0.18664398789405823","0.18664398789405823"
"179","0.18627242743968964","0.18627242743968964","0.18627242743968964"
"181","0.18598595261573792","0.18598595261573792","0.18598595261573792"
"183","0.18556365370750427","0.18556365370750427","0.18556365370750427"
"185","0.18536987900733948","0.18536987900733948","0.18536987900733948"
"187","0.18485602736473083","0.18485602736473083","0.18485602736473083"
"189","0.18474045395851135","0.18474045395851135","0.18474045395851135"
"191","0.18434982001781464","0.18434982001781464","0.18434982001781464"
"193","0.18410149216651917","0.18410149216651917","0.18410149216651917"
"195","0.18381157517433167","0.18381157517433167","0.18381157517433167"
"197","0.18335875868797302","0.18335875868797302","0.18335875868797302"
"199","0.1830730438232422","0.1830730438232422","0.1830730438232422"